"id";"sigle";"nom";"anCreation";"idGrp";"idDiv"
1;"US SIDI-BELLOUA";"UNION SPORTIVE SIDI BELLOUA";2018;1;0
2;"AC BOUDJIMA";"AMAZIGH CLUB BOUDJIMA";2019;1;0
3;"AC YAKOURENE";"AIT-BOUHENI CLUB YAKOUREN";1964;1;0
4;"ASC OUAGUENOUN";"ASSOCIATION SPORTIVE COMMUNAL OUAGUENOUN";1981;1;0
5;"FC OUADHIAS";"FOOTBALL CLUB OUADHIAS";1977;1;0
6;"KC T-AZOUZ";"KABYLI CLUB TAGUEMOUNT AZOUZ";1992;1;0
7;"OSMDBK";"OS MOULDIOUENE";2012;1;0
8;"RC BETROUNA";"RACING CLUB BETROUNA";2013;1;0
9;"RC IMAZIGHEN";"RACING CLUB IMAZIGHEN";2018;1;0
10;"US TALA-ATMANE";"UNION SPORTIVE TALA ATHMANE";2003;1;0
11;"AS AIT-BOUADDOU";"AGULMIM SPORTIF AIT BOUADOU";0;2;1
12;"CRB MEKLA";"CHABAB RIADI BALADIAT MEKLA";0;2;1
13;"CS IHASNAOUENE";"CLUB SPORTIF IHASNAOUENE";0;2;1
14;"JS TADMAITN";"JEUNESSE SPORTIVE TADMAIT";0;2;1
15;"JS TALA-TEGANA";"JS TALA TEGANA";0;2;1
16;"NA REDJAOUNA";"NASR ATLETIC REDJAOUNA";0;2;1
17;"O TIZI-GHENIF";" OLYMPIQUE TIZI GHENIFF";0;2;1
18;"O TIZI-RACHED";"OLYMPIQUE TIZI-RACHED";0;2;1
19;"US BOUHINOUN";"UNION SPORTIVE BOUHINOUN";0;2;1
20;"US TIRMITINE";"UNION SPORTIVE TIRMITINE";0;2;1
24;"MARENA FC";"MARENA FOOTBALL CLUB";0;1;3
25;"O NATH-YIRATEN";"OLYMPIQUE NATH YIRATHEN";0;1;3
26;"OC AZAZGA";" OLYMPIQUE CHEURFA AZAZGA";0;1;3
27;"RS ILLOULA";"RS ILLOULA OUMALOU";0;1;3
28;"USDS";"UNION SPORTIVE DJEMAA SAHARIDJ";0;1;3
32;"JS EL KALAA";"JEUNESSE SPORTIVE EL-KELAA";0;3;3
33;"ES TIRMITINE";"ECOLE SPORTIVE TIRMITINE";0;5;3
34;"JST-MANSOUR";"JEUNESSE SPORTIVE TALA MANSOUR";0;5;3
35;"US S ALI-BOUNAB";"UNION SPORTIVE SIDI-ALI BOUNAB";0;5;3
